registro_id,timestamp,lote_id,producto,etapa,evento,ubicacion,lat,lon,transporte,humedad_grano_pct,temperatura_grano_c,temperatura_ambiente_c,humedad_ambiente_pct,shock_g,estado_sello,responsable,observaciones
TRZ-0001,2026-05-15 06:00:00,SOJA-ITP-2026-001,Soja a granel,SILO,CARGA_SILO,Silo Itapúa,-27.338,-55.866,Camión,12.47,23.9,26.6,63.5,0.17,OK,Cooperativa Itapúa,Registro automático de telemetría IoT.
TRZ-0002,2026-05-15 09:00:00,SOJA-ITP-2026-001,Soja a granel,SILO,CONTROL_CALIDAD_ORIGEN,Tramo Silo Itapúa - Puerto Encarnación,-27.334,-55.868,Camión,12.63,24.5,30.4,63.1,0.08,OK,Cooperativa Itapúa,Lote habilitado para despacho.
TRZ-0003,2026-05-15 12:00:00,SOJA-ITP-2026-001,Soja a granel,PUERTO_ORIGEN,SALIDA_SILO_A_PUERTO,Puerto Encarnación,-27.33,-55.87,Camión,12.33,25.5,31.1,66.2,0.13,OK,Cooperativa Itapúa,Registro automático de telemetría IoT.
TRZ-0004,2026-05-15 15:00:00,SOJA-ITP-2026-001,Soja a granel,PUERTO_ORIGEN,CARGA_BARCAZA,Tramo Puerto Encarnación - San Cosme y Damián,-27.325125,-56.04625,Barcaza,12.37,26.0,31.2,65.5,1.03,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0005,2026-05-15 18:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,SALIDA_BARCAZA,Tramo Puerto Encarnación - San Cosme y Damián,-27.32025,-56.2225,Barcaza,12.64,26.0,26.3,76.0,0.16,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0006,2026-05-15 21:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,San Cosme y Damián,-27.327375,-56.40375,Barcaza,12.38,26.8,23.7,75.3,0.21,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0007,2026-05-16 00:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo San Cosme y Damián - Ayolas,-27.3585,-56.595,Barcaza,12.73,26.5,22.9,71.5,0.06,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0008,2026-05-16 03:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Ayolas,-27.389625,-56.78625,Barcaza,12.71,26.9,23.6,75.0,0.14,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0009,2026-05-16 06:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Ayolas,-27.324286,-57.057143,Barcaza,12.46,26.0,26.6,68.8,0.18,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0010,2026-05-16 09:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Ayolas - Pilar,-27.210714,-57.367857,Barcaza,12.61,26.2,30.3,71.4,0.21,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0011,2026-05-16 12:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Ayolas - Pilar,-27.097143,-57.678571,Barcaza,12.61,25.4,32.9,73.6,0.15,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0012,2026-05-16 15:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Ayolas - Pilar,-26.983571,-57.989286,Barcaza,12.91,24.9,30.3,76.2,0.15,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0013,2026-05-16 18:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,CONTROL_INTERMEDIO,Pilar,-26.87,-58.3,Barcaza,12.9,24.9,27.4,73.7,0.19,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0014,2026-05-16 21:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Pilar - Confluencia Paraguay-Paraná,-26.9775,-58.4375,Barcaza,12.63,24.1,23.0,66.1,0.13,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0015,2026-05-17 00:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Pilar - Confluencia Paraguay-Paraná,-27.085,-58.575,Barcaza,13.13,24.3,21.6,69.1,0.06,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0016,2026-05-17 03:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Pilar - Confluencia Paraguay-Paraná,-27.1925,-58.7125,Barcaza,12.92,23.1,23.0,66.6,0.27,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0017,2026-05-17 06:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,PASO_CONFLUENCIA,Confluencia Paraguay-Paraná,-27.3,-58.85,Barcaza,12.86,23.1,27.8,63.4,0.23,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0018,2026-05-17 09:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Confluencia Paraguay-Paraná - Corrientes,-27.351,-58.847,Barcaza,13.02,22.2,29.6,58.8,0.42,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0019,2026-05-17 12:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Confluencia Paraguay-Paraná - Corrientes,-27.402,-58.844,Barcaza,13.11,22.9,31.8,56.7,0.01,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0020,2026-05-17 15:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Corrientes,-27.453,-58.841,Barcaza,13.1,23.1,31.3,54.6,0.34,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0021,2026-05-17 18:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Corrientes,-27.714706,-58.949412,Barcaza,13.23,22.8,27.1,55.7,0.16,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0022,2026-05-17 21:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Corrientes,-28.081765,-59.113529,Barcaza,13.12,22.7,24.4,60.4,0.15,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0023,2026-05-18 00:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Corrientes - Santa Fe,-28.448824,-59.277647,Barcaza,13.07,23.1,21.4,59.6,0.22,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0024,2026-05-18 03:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Corrientes - Santa Fe,-28.815882,-59.441765,Barcaza,13.3,23.6,22.8,69.1,0.14,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0025,2026-05-18 06:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,LLUVIA_EN_RUTA,Tramo Corrientes - Santa Fe,-29.182941,-59.605882,Barcaza,14.88,25.0,26.0,64.0,0.34,OK,Operador Hidrovía,Condición climática adversa; revisar ventilación y sellado.
TRZ-0026,2026-05-18 09:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,ALERTA_HUMEDAD,Tramo Corrientes - Santa Fe,-29.55,-59.77,Barcaza,15.11,25.2,29.7,69.0,0.2,OK,Operador Hidrovía,Humedad del grano supera umbral recomendado de exportación.
TRZ-0027,2026-05-18 12:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Corrientes - Santa Fe,-29.917059,-59.934118,Barcaza,14.85,25.9,31.1,67.6,0.18,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0028,2026-05-18 15:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Tramo Corrientes - Santa Fe,-30.284118,-60.098235,Barcaza,14.86,26.1,31.3,64.3,0.14,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0029,2026-05-18 18:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,VENTILACION_BODEGA,Tramo Corrientes - Santa Fe,-30.651176,-60.262353,Barcaza,14.76,27.1,26.4,63.5,0.81,VERIFICADO,Operador Hidrovía,Se registra ventilación correctiva por aumento de humedad.
TRZ-0030,2026-05-18 21:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Santa Fe,-31.018235,-60.426471,Barcaza,14.76,26.8,23.1,54.9,0.18,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0031,2026-05-19 00:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Santa Fe,-31.385294,-60.590588,Barcaza,14.69,26.9,22.3,52.2,0.29,OK,Operador Hidrovía,Registro automático de telemetría IoT.
TRZ-0032,2026-05-19 03:00:00,SOJA-ITP-2026-001,Soja a granel,TRANSITO_FLUVIAL,TELEMETRIA,Santa Fe,-31.685,-60.697083,Barcaza,13.3,26.2,23.8,53.1,0.1,OK,Operador Hidrovía,Registro automático de telemetría IoT.
